plugin_name,skill_name,summary
shell-scripting,bash-defensive-patterns,Master defensive Bash programming techniques
shell-scripting,bats-testing-patterns,Master Bash Automated Testing System (Bats)
shell-scripting,shellcheck-configuration,Master ShellCheck static analysis configuration
startup-business-analyst,competitive-landscape,Analyze competitive landscape and market positions
startup-business-analyst,market-sizing-analysis,Calculate market sizing and TAM/SAM/SOM
startup-business-analyst,startup-financial-modeling,Create financial models and projections
startup-business-analyst,startup-metrics-framework,Implement startup metrics and KPI tracking
startup-business-analyst,team-composition-analysis,Plan optimal team composition and roles
systems-programming,go-concurrency-patterns,Master Go concurrency with goroutines and channels
systems-programming,memory-safety-patterns,Implement memory-safe programming with RAII
systems-programming,rust-async-patterns,Master Rust async programming with Tokio
ui-design,accessibility-compliance,Implement WCAG 2.2 compliant interfaces
ui-design,design-system-patterns,Build scalable design systems with design tokens
ui-design,interaction-design,Design microinteractions, motion design, transitions
ui-design,mobile-android-design,Master Material Design 3 and Jetpack Compose patterns
ui-design,mobile-ios-design,Master iOS Human Interface Guidelines and SwiftUI
ui-design,react-native-design,Master React Native styling, navigation, Reanimated
ui-design,responsive-design,Implement modern responsive layouts with container queries
ui-design,visual-design-foundations,Apply typography, color theory, spacing systems
ui-design,web-component-design,Master React, Vue, Svelte component patterns
